id,texture,rs,mvol,mwp,mwplog,bd,porosity,clay,silt,sand,org,ra,ra_s1
Ac,Clayloam,0.25,0.2,45,1.658,0.6,0.769,0.4,0.3,0.3,0.023,0.729,0.81
Ac,Clayloam,0.26,0.2,42,1.618,0.6,0.769,0.4,0.3,0.3,0.023,0.729,0.81
Ac,Clayloam,0.25,0.2,39,1.595,0.6,0.769,0.4,0.3,0.3,0.023,0.792,0.88
Ac,Clayloam,0.3,0.23,20,1.308,0.6,0.769,0.4,0.3,0.3,0.023,0.855,0.95
Ac,Clayloam,0.3,0.23,17,1.24,0.6,0.769,0.4,0.3,0.3,0.023,0.765,0.85
Ac,Clayloam,0.3,0.23,15,1.188,0.6,0.769,0.4,0.3,0.3,0.023,0.819,0.91
Ac,Clayloam,0.34,0.27,8,0.876,0.6,0.769,0.4,0.3,0.3,0.023,0.9,1
Ac,Clayloam,0.34,0.26,8,0.92,0.6,0.769,0.4,0.3,0.3,0.023,0.774,0.86
Ac,Clayloam,0.34,0.26,7,0.845,0.6,0.769,0.4,0.3,0.3,0.023,0.855,0.95
Ac,Clayloam,0.34,0.26,6,0.754,0.6,0.769,0.4,0.3,0.3,0.023,0.81,0.9
Ac,Clayloam,0.39,0.3,5,0.71,0.6,0.769,0.4,0.3,0.3,0.023,0.81,0.9
Ac,Clayloam,0.39,0.3,5,0.713,0.6,0.769,0.4,0.3,0.3,0.023,0.855,0.95
Ac,Clayloam,0.39,0.3,4,0.638,0.6,0.769,0.4,0.3,0.3,0.023,0.891,0.99
Ac,Clayloam,0.43,0.33,4,0.585,0.6,0.769,0.4,0.3,0.3,0.023,0.792,0.88
Ac,Clayloam,0.43,0.33,4,0.593,0.6,0.769,0.4,0.3,0.3,0.023,0.81,0.9
Ac,Clayloam,0.43,0.33,4,0.614,0.6,0.769,0.4,0.3,0.3,0.023,0.873,0.97
Ac,Clayloam,0.39,0.3,3,0.537,0.6,0.769,0.4,0.3,0.3,0.023,0.873,0.97
Ac,Clayloam,0.43,0.33,3,0.515,0.6,0.769,0.4,0.3,0.3,0.023,0.864,0.96
Ah,Clayloam,0.2,0.14,2693,3.43,0.7,0.71,0.3,0.45,0.25,0.101,0.77,0.77
Ah,Clayloam,0.2,0.14,1939,3.288,0.7,0.71,0.3,0.45,0.25,0.101,0.71,0.71
Ah,Clayloam,0.2,0.14,1735,3.239,0.7,0.71,0.3,0.45,0.25,0.101,0.73,0.73
Ah,Clayloam,0.3,0.21,770,2.887,0.7,0.71,0.3,0.45,0.25,0.101,0.85,0.85
Ah,Clayloam,0.2,0.14,767,2.885,0.7,0.71,0.3,0.45,0.25,0.101,0.75,0.75
Ah,Clayloam,0.39,0.28,614,2.788,0.7,0.71,0.3,0.45,0.25,0.101,0.82,0.82
Ah,Clayloam,0.3,0.21,169,2.228,0.7,0.71,0.3,0.45,0.25,0.101,0.88,0.88
Ah,Clayloam,0.3,0.21,120,2.08,0.7,0.71,0.3,0.45,0.25,0.101,0.82,0.82
Ah,Clayloam,0.3,0.21,57,1.758,0.7,0.71,0.3,0.45,0.25,0.101,0.72,0.72
Ah,Clayloam,0.39,0.28,34,1.531,0.7,0.71,0.3,0.45,0.25,0.101,0.86,0.86
Ah,Clayloam,0.39,0.28,6,0.765,0.7,0.71,0.3,0.45,0.25,0.101,0.87,0.87
Ah,Clayloam,0.39,0.28,6,0.786,0.7,0.71,0.3,0.45,0.25,0.101,0.88,0.88
Ah,Clayloam,0.49,0.35,4,0.593,0.7,0.71,0.3,0.45,0.25,0.101,0.88,0.88
Ah,Clayloam,0.49,0.35,2,0.328,0.7,0.71,0.3,0.45,0.25,0.101,0.84,0.84
Ah,Clayloam,0.49,0.35,2,0.368,0.7,0.71,0.3,0.45,0.25,0.101,1,1
Ah,Clayloam,0.6,0.43,2,0.187,0.7,0.71,0.3,0.45,0.25,0.101,0.81,0.81
Ah,Clayloam,0.6,0.42,1,0.125,0.7,0.71,0.3,0.45,0.25,0.101,0.9,0.9
Ah,Clayloam,0.6,0.42,1,0.15,0.7,0.71,0.3,0.45,0.25,0.101,0.97,0.97
Ah,Clayloam,0.6,0.42,1,0.172,0.7,0.71,0.3,0.45,0.25,0.101,0.79,0.79
Bro1,Sandyloam,0.11,0.057,2327,3.367,1.229,0.53,0.11,0.11,0.78,0.014,0.42,0.42
Bro1,Sandyloam,0.24,0.134,37,1.564,1.179,0.55,0.11,0.11,0.78,0.014,0.73,0.73
Bro1,Sandyloam,0.39,0.215,6,0.785,1.179,0.55,0.11,0.11,0.78,0.014,0.79,0.79
Bro1,Sandyloam,0.54,0.285,4,0.609,1.25,0.52,0.11,0.11,0.78,0.014,0.92,0.92
Bro1,Sandyloam,0.56,0.317,3,0.496,1.157,0.56,0.11,0.11,0.78,0.014,0.81,0.81
Bro1,Sandyloam,0.68,0.376,2,0.32,1.177,0.55,0.11,0.11,0.78,0.014,1,1
Bro1,Sandyloam,0.72,0.423,2,0.305,1.089,0.58,0.11,0.11,0.78,0.014,0.73,0.73
Bro1,Sandyloam,0.87,0.504,1,-0.143,1.106,0.58,0.11,0.11,0.78,0.014,0.65,0.65
Bro1c,Sandyloam,0.07,0.035,3026,3.481,1.25,0.52,0.11,0.11,0.78,0.014,0.46,0.46
Bro1c,Sandyloam,0.18,0.091,633,2.802,1.266,0.52,0.11,0.11,0.78,0.014,0.6,0.6
Bro1c,Sandyloam,0.31,0.155,44,1.648,1.333,0.49,0.11,0.11,0.78,0.014,0.66,0.66
Bro1c,Sandyloam,0.41,0.197,16,1.204,1.37,0.48,0.11,0.11,0.78,0.014,1,1
Bro1c,Sandyloam,0.55,0.251,8,0.901,1.441,0.45,0.11,0.11,0.78,0.014,0.85,0.85
Bro1c,Sandyloam,0.58,0.278,6,0.779,1.377,0.47,0.11,0.11,0.78,0.014,0.75,0.75
Bro1c,Sandyloam,0.73,0.344,4,0.622,1.397,0.47,0.11,0.11,0.78,0.014,0.64,0.64
Bro1c,Sandyloam,0.69,0.363,2,0.358,1.25,0.52,0.11,0.11,0.78,0.014,0.78,0.78
Bro2,Loamysand,0.09,0.05,2790,3.446,1.092,0.58,0.15,0.125,0.725,0.015,0.26,0.26
Bro2,Loamysand,0.2,0.122,182,2.26,1.066,0.59,0.15,0.125,0.725,0.015,0.55,0.55
Bro2,Loamysand,0.36,0.207,9,0.956,1.136,0.56,0.15,0.125,0.725,0.015,0.66,0.66
Bro2,Loamysand,0.46,0.26,5,0.689,1.139,0.56,0.15,0.125,0.725,0.015,1,1
Bro2,Loamysand,0.57,0.319,3,0.494,1.163,0.55,0.15,0.125,0.725,0.015,0.63,0.63
Bro2,Loamysand,0.63,0.361,2,0.384,1.129,0.57,0.15,0.125,0.725,0.015,0.74,0.74
Bro2,Loamysand,0.75,0.435,1,0.161,1.121,0.57,0.15,0.125,0.725,0.015,0.95,0.95
Bro2,Loamysand,0.87,0.506,1,0.053,1.109,0.58,0.15,0.125,0.725,0.015,0.52,0.52
Bro2c,Loamysand,0.07,0.035,5602,3.748,1.26,0.52,0.15,0.125,0.725,0.015,0.19,0.213
Bro2c,Loamysand,0.16,0.086,1220,3.086,1.191,0.54,0.15,0.125,0.725,0.015,0.52,0.584
Bro2c,Loamysand,0.29,0.15,273,2.436,1.292,0.5,0.15,0.125,0.725,0.015,0.57,0.64
Bro2c,Loamysand,0.37,0.188,35,1.544,1.306,0.5,0.15,0.125,0.725,0.015,0.73,0.82
Bro2c,Loamysand,0.5,0.24,18,1.26,1.381,0.47,0.15,0.125,0.725,0.015,0.88,0.989
Bro2c,Loamysand,0.5,0.259,7,0.873,1.282,0.51,0.15,0.125,0.725,0.015,0.8,0.899
Bro2c,Loamysand,0.74,0.346,5,0.716,1.405,0.46,0.15,0.125,0.725,0.015,0.89,1
Bro2c,Loamysand,0.81,0.394,4,0.549,1.359,0.48,0.15,0.125,0.725,0.015,0.78,0.876
Bro3,Sandyclayloam,0.09,0.05,3896,3.591,1.092,0.58,0.21,0.175,0.615,0.016,0.55,0.55
Bro3,Sandyclayloam,0.22,0.126,674,2.829,1.104,0.58,0.21,0.175,0.615,0.016,0.54,0.54
Bro3,Sandyclayloam,0.33,0.194,26,1.417,1.068,0.59,0.21,0.175,0.615,0.016,0.82,0.82
Bro3,Sandyclayloam,0.41,0.246,8,0.883,1.078,0.59,0.21,0.175,0.615,0.016,1,1
Bro3,Sandyclayloam,0.52,0.304,4,0.631,1.111,0.57,0.21,0.175,0.615,0.016,0.84,0.84
Bro3,Sandyclayloam,0.54,0.33,3,0.415,1.031,0.6,0.21,0.175,0.615,0.016,0.94,0.94
Bro3,Sandyclayloam,0.73,0.428,3,0.431,1.104,0.58,0.21,0.175,0.615,0.016,0.82,0.82
Bro3,Sandyclayloam,0.83,0.494,2,0.215,1.082,0.59,0.21,0.175,0.615,0.016,0.68,0.68
Bro3c,Sandyclayloam,0.06,0.033,5818,3.765,1.188,0.54,0.21,0.175,0.615,0.016,0.15,0.15
Bro3c,Sandyclayloam,0.15,0.083,2363,3.374,1.152,0.56,0.21,0.175,0.615,0.016,0.41,0.41
Bro3c,Sandyclayloam,0.27,0.144,757,2.879,1.238,0.53,0.21,0.175,0.615,0.016,0.58,0.58
Bro3c,Sandyclayloam,0.33,0.178,267,2.427,1.235,0.53,0.21,0.175,0.615,0.016,0.73,0.73
Bro3c,Sandyclayloam,0.38,0.209,44,1.642,1.199,0.54,0.21,0.175,0.615,0.016,0.87,0.87
Bro3c,Sandyclayloam,0.54,0.269,19,1.278,1.333,0.49,0.21,0.175,0.615,0.016,0.88,0.88
Bro3c,Sandyclayloam,0.68,0.332,11,1.036,1.351,0.48,0.21,0.175,0.615,0.016,1,1
Bro3c,Sandyclayloam,0.76,0.383,4,0.563,1.319,0.49,0.21,0.175,0.615,0.016,0.68,0.68
Bro4,Sandyclayloam,0.08,0.048,4204,3.624,1.037,0.6,0.245,0.22,0.535,0.019,0.18,0.186
Bro4,Sandyclayloam,0.19,0.118,1304,3.115,1.033,0.6,0.245,0.22,0.535,0.019,0.5,0.515
Bro4,Sandyclayloam,0.26,0.169,39,1.589,0.931,0.64,0.245,0.22,0.535,0.019,0.82,0.845
