id,rs,mvol,mp,bd,porosity,clay,org,ra,mp_th
WythamCT,0.4,0.23,3598,1.15,0.58,0.51,0.04,0.85,28724
WythamCT,0.55,0.32,528,1.15,0.58,0.51,0.04,1,28724
WythamCT,0.48,0.28,1111,1.15,0.58,0.51,0.04,0.85,28724
WythamCT,0.47,0.28,1232,1.15,0.58,0.51,0.04,0.77,28724
WythamCT,0.6,0.35,288,1.15,0.58,0.51,0.04,0.77,28724
WythamCT,0.48,0.28,1170,1.15,0.58,0.51,0.04,0.66,28724
WythamCT,0.52,0.3,720,1.15,0.58,0.51,0.04,0.6,28724
WythamCT,0.4,0.23,3598,1.15,0.58,0.51,0.04,0.52,28724
WythamCT,0.51,0.3,754,1.15,0.58,0.51,0.04,0.47,28724
WythamCT,0.54,0.31,575,1.15,0.58,0.51,0.04,0.5,28724
WythamCT,0.62,0.36,239,1.15,0.58,0.51,0.04,0.53,28724
WythamCT,0.59,0.34,324,1.15,0.58,0.51,0.04,0.42,28724
WythamCT,0.69,0.4,135,1.15,0.58,0.51,0.04,0.43,28724
WythamCT,0.76,0.44,71,1.15,0.58,0.51,0.04,0.44,28724
WythamCT,0.78,0.45,59,1.15,0.58,0.51,0.04,0.47,28724
WythamCT,0.81,0.47,48,1.15,0.58,0.51,0.04,0.48,28724
WythamCT,0.95,0.55,9,1.15,0.58,0.51,0.04,0.45,28724
WythamCT,0.92,0.53,14,1.15,0.58,0.51,0.04,0.38,28724
WythamCT,0.84,0.49,35,1.15,0.58,0.51,0.04,0.39,28724
WythamCT,0.74,0.43,84,1.15,0.58,0.51,0.04,0.34,28724
WythamCT,0.71,0.41,110,1.15,0.58,0.51,0.04,0.24,28724
WythamCT,0.81,0.47,48,1.15,0.58,0.51,0.04,0.24,28724
WythamCT,0.85,0.49,33,1.15,0.58,0.51,0.04,0.21,28724
WythamCT,0.86,0.5,28,1.15,0.58,0.51,0.04,0.23,28724
WythamCT,0.85,0.49,31,1.15,0.58,0.51,0.04,0.14,28724
WythamCT,0.92,0.53,14,1.15,0.58,0.51,0.04,0.27,28724
WythamCT,0.98,0.57,5,1.15,0.58,0.51,0.04,0.28,28724
WythamCT,0.96,0.55,8,1.15,0.58,0.51,0.04,0.2,28724
WythamCT,0.98,0.57,5,1.15,0.58,0.51,0.04,0.15,28724
WythamAd,0.49,0.29,957,1.15,0.58,0.51,0.04,1,28724
WythamAd,0.4,0.23,4137,1.15,0.58,0.51,0.04,0.89,28724
WythamAd,0.38,0.22,5560,1.15,0.58,0.51,0.04,0.86,28724
WythamAd,0.32,0.18,24681,1.15,0.58,0.51,0.04,0.79,28724
